iter	Passed	Remaining
0	149	14807
1	156	7661
2	161	5220
3	169	4059
4	178	3389
5	188	2959
6	208	2771
7	226	2602
8	251	2545
9	258	2325
10	265	2151
11	271	1988
12	277	1855
13	281	1728
14	285	1616
15	290	1522
16	294	1436
17	297	1356
18	301	1284
19	307	1228
20	310	1167
21	313	1111
22	315	1057
23	319	1011
24	322	968
25	325	926
26	328	887
27	331	851
28	334	819
29	337	787
30	339	756
31	342	728
32	345	701
33	348	676
34	351	653
35	354	630
36	357	608
37	359	586
38	362	566
39	365	548
40	368	530
41	371	513
42	374	496
43	376	479
44	380	465
45	383	450
46	386	436
47	389	422
48	392	408
49	395	395
50	397	382
51	400	369
52	403	357
53	405	345
54	408	334
55	410	322
56	413	311
57	418	302
58	421	292
59	424	283
60	427	273
61	430	263
62	433	254
63	436	245
64	440	236
65	443	228
66	446	219
67	449	211
68	451	202
69	454	194
70	456	186
71	458	178
72	460	170
73	463	162
74	465	155
75	467	147
76	470	140
77	472	133
78	475	126
79	477	119
80	479	112
81	481	105
82	484	99
83	486	92
84	488	86
85	490	79
86	492	73
87	494	67
88	496	61
89	499	55
90	501	49
91	503	43
92	507	38
93	510	32
94	512	26
95	515	21
96	516	15
97	518	10
98	520	5
99	522	0
